Year,Owner Move In,Ellis Act Withdrawal,Demolition,Development Agreement,Condo Conversion
1991,35,0,2,0,1
1992,43,0,1,0,0
1993,77,0,3,0,0
1994,82,0,6,0,0
1995,84,0,8,0,0
1996,174,1,10,0,0
1997,289,1,14,0,0
1998,376,22,15,0,0
1999,198,94,7,0,0
2000,247,72,9,0,2
2001,200,49,26,0,2
2002,141,35,19,0,1
2003,86,38,32,0,1
2004,80,71,14,0,1
2005,83,71,14,0,0
2006,54,63,12,0,1
2007,48,60,4,0,0
2008,39,48,10,0,0
2009,41,8,13,0,0
2010,28,19,10,20,1
2011,33,10,10,0,1
2012,41,23,9,65,3
2013,76,53,30,0,2
2014,67,21,11,0,2
