Year,Breach of Lease Agreement,Nuisance,Non-payment of rent or habitual late payment of rent,Illegal Use of Unit,Unapproved Subtenant
1989,0,0,1,0,0
1990,0,0,0,0,0
1991,18,18,15,0,8
1992,16,23,9,0,4
1993,27,38,29,1,5
1994,30,41,33,6,4
1995,37,62,35,2,5
1996,55,65,35,13,11
1997,87,59,29,3,19
1998,89,50,34,3,28
1999,77,60,37,9,46
2000,96,64,28,10,6
2001,86,67,22,7,7
2002,52,67,23,6,2
2003,69,75,40,2,4
2004,53,63,27,5,4
2005,68,76,17,6,2
2006,67,62,31,15,6
2007,94,78,14,8,3
2008,94,90,29,6,4
2009,107,52,30,4,9
2010,110,62,20,2,4
2011,126,54,23,3,3
2012,85,84,12,6,3
2013,129,90,25,11,7
2014,171,92,24,16,4
